split,video_id,n_windows,n_pos,n_neg,toa,description,min_gap,max_gap,class_pattern
train,10/047,4,2,2,260,ego-car accelerately goes straight at non-signalized junctions,4,180,ambas clases
train,10/048,3,1,2,220,ego-car turns left across path at non-signalized junctions,12,156,ambas clases
train,10/050,4,2,2,242,ego-car turns left across path at non-signalized junctions,2,178,ambas clases
train,10/052,3,1,2,190,ego-car turns left across path at non-signalized junctions,14,126,ambas clases
train,10/054,3,1,2,360,a vehicle goes straight at signalized junctions,8,136,ambas clases
train,10/057,2,1,1,172,ego-car turns right across path at non-signalized junctions,12,108,ambas clases
train,10/059,4,2,2,259,a vehicle accelerately goes straight at non-signalized junctions,3,179,ambas clases
train,10/060,4,2,2,403,ego-car turns left across path at non-signalized junctions,3,179,ambas clases
train,10/062,4,2,2,275,a vehicle turns on a road with the same direction to ego-car,3,131,ambas clases
train,10/064,3,1,2,410,a vehicle changes lanes with the same direction to ego-car,10,154,ambas clases
train,10/066,3,1,2,246,a vehicle turns on a road with the same direction to ego-car,6,150,ambas clases
train,10/068,4,2,2,244,ego-car accelerately goes straight at non-signalized junctions,4,180,ambas clases
train,10/069,4,2,2,289,a vehicle changes lanes with same direction to ego-car,1,177,ambas clases
train,10/071,2,1,1,105,a vehicle crosses the road,9,41,ambas clases
train,10/074,4,2,2,211,ego-car accelerately goes straight at non-signalized junctions,3,147,ambas clases
train,10/075,2,1,1,112,ego-car turns left across path at signalized junctions,16,48,ambas clases
train,10/076,3,1,2,182,ego-car goes straight at signalized junctions,6,118,ambas clases
train,10/077,2,1,1,118,a vehicle crosses the road,6,54,ambas clases
train,10/079,2,1,1,170,ego-car accelerately goes straight at non-signalized junctions,10,106,ambas clases
train,10/080,3,2,1,130,ego-car goes straight crossing paths at non-signalized junctions,2,66,ambas clases
train,10/084,2,1,1,170,a vehicle crosses the road,10,106,ambas clases
train,10/085,2,1,1,102,a vehicle crosses the road,6,38,ambas clases
train,10/086,3,1,2,201,a vehicle crosses the road,9,121,ambas clases
train,10/087,3,1,2,220,a vehicle crosses the road,12,156,ambas clases
train,10/088,2,1,1,166,a vehicle crosses the road,6,102,ambas clases
train,10/089,2,1,1,117,a vehicle crosses the road,5,53,ambas clases
train,10/090,2,1,1,137,a vehicle crosses the road,9,73,ambas clases
train,10/093,2,1,1,119,a vehicle crosses the road,7,55,ambas clases
train,10/099,3,1,2,220,a vehicle crosses the road,12,124,ambas clases
train,10/101,2,1,1,159,a vehicle crosses the road,15,95,ambas clases
train,10/102,3,2,1,115,a vehicle crosses the road,3,51,ambas clases
train,10/103,3,1,2,203,a vehicle crosses the road,11,123,ambas clases
train,10/104,2,1,1,152,a vehicle crosses the road,8,88,ambas clases
train,10/108,2,1,1,165,a vehicle crosses the road,5,101,ambas clases
train,10/110,3,1,2,238,a vehicle crosses the road,14,174,ambas clases
train,10/112,4,2,2,212,a vehicle crosses the road,4,148,ambas clases
train,10/117,2,1,1,105,a vehicle crosses the road,9,41,ambas clases
train,10/120,3,1,2,191,a vehicle crosses the road,15,127,ambas clases
train,10/124,2,1,1,166,a vehicle crosses the road,6,102,ambas clases
train,10/125,3,2,1,132,a vehicle crosses the road,4,68,ambas clases
train,10/127,3,2,1,99,a vehicle crosses the road,3,35,ambas clases
train,10/130,3,1,2,207,a vehicle crosses the road,15,143,ambas clases
train,10/132,4,2,2,244,a vehicle crosses the road,4,164,ambas clases
train,10/133,2,1,1,156,a vehicle crosses the road,12,92,ambas clases
train,10/134,1,1,0,93,a vehicle crosses the road,13,13,solo positivos
train,10/135,3,2,1,162,a vehicle crosses the road,2,98,ambas clases
train,10/138,2,1,1,134,a vehicle crosses the road,6,70,ambas clases
train,10/140,2,1,1,175,a vehicle crosses the road,15,111,ambas clases
train,10/145,2,1,1,120,a vehicle crosses the road,8,56,ambas clases
train,10/147,3,1,2,203,a vehicle crosses the road,11,139,ambas clases
train,10/148,3,1,2,220,a vehicle crosses the road,12,156,ambas clases
train,10/149,2,1,1,156,a vehicle crosses the road,12,92,ambas clases
train,10/151,2,1,1,111,a vehicle crosses the road,15,47,ambas clases
train,10/152,4,2,2,305,a vehicle crosses the road,1,145,ambas clases
train,10/153,3,1,2,182,a vehicle backes up into another vehicle,6,118,ambas clases
train,10/154,3,1,2,213,a vehicle crosses the road,5,149,ambas clases
train,10/157,2,1,1,139,a vehicle crosses the road,11,75,ambas clases
train,10/158,2,1,1,135,a vehicle crosses the road,7,71,ambas clases
train,10/160,2,1,1,106,a vehicle crosses the road,10,42,ambas clases
train,10/164,3,1,2,216,a vehicle crosses the road,8,120,ambas clases
train,10/165,3,1,2,185,a vehicle crosses the road,9,121,ambas clases
train,10/166,3,1,2,236,a vehicle crosses the road,12,140,ambas clases
train,10/167,2,1,1,138,a vehicle crosses the road,10,74,ambas clases
train,11/001,2,1,1,123,lead vehicle stops,11,59,ambas clases
train,11/002,3,1,2,246,vehicles meet on the road,6,134,ambas clases
train,11/003,3,1,2,405,a vehicle backes up into ego-car,5,165,ambas clases
train,11/004,2,1,1,120,a vehicle changes lanes with the same direction to ego-car,8,56,ambas clases
train,11/005,2,1,1,143,ego-car makes a dodge action,15,79,ambas clases
train,11/006,3,1,2,326,lead vehicle stops,6,150,ambas clases
train,11/007,3,1,2,277,a following vehicle makes a maneuver,5,133,ambas clases
train,11/008,4,2,2,338,lead vehicle stops,2,178,ambas clases
train,11/011,3,1,2,185,a vehicle changes lanes with the same direction to ego-car,9,121,ambas clases
train,11/012,3,1,2,432,a vehicle changes lanes with the same direction to ego-car,16,176,ambas clases
train,11/015,3,1,2,361,lead vehicle stops,9,137,ambas clases
train,11/016,3,1,2,318,lead vehicle stops,14,158,ambas clases
train,11/017,2,1,1,170,lead vehicle decelerates,10,106,ambas clases
train,11/018,3,1,2,203,lead vehicle stops,11,123,ambas clases
train,11/019,3,1,2,377,ego-car overtakes,9,169,ambas clases
train,11/021,3,1,2,198,a vehicle changes lanes with the same direction to ego-car,6,134,ambas clases
train,11/022,3,1,2,406,lead vehicle decelerates,6,150,ambas clases
train,11/023,3,1,2,336,lead vehicle stops,16,176,ambas clases
train,11/024,4,2,2,225,a vehicle changes lanes with the same direction to ego-car,1,129,ambas clases
train,11/025,3,1,2,294,ego-car makes a dodge action,6,166,ambas clases
train,11/026,3,1,2,377,lead vehicle stops,9,169,ambas clases
train,11/027,3,1,2,185,a vehicle changes lanes with the same direction to ego-car,9,121,ambas clases
train,11/028,3,1,2,280,lead vehicle stops,8,152,ambas clases
train,11/029,2,1,1,119,lead vehicle stops,7,55,ambas clases
train,11/030,2,1,1,134,lead vehicle stops,6,70,ambas clases
train,11/031,3,1,2,325,lead vehicle stops,5,133,ambas clases
train,11/033,3,1,2,313,a vehicle changes lanes with the same direction to ego-car,9,153,ambas clases
train,11/034,3,1,2,299,a vehicle changes lanes with the same direction to ego-car,11,155,ambas clases
train,11/035,3,1,2,238,a vehicle changes lanes with the same direction to ego-car,14,174,ambas clases
train,11/036,3,2,1,164,lead vehicle stops,4,100,ambas clases
train,11/037,4,2,2,209,lead vehicle stops,1,145,ambas clases
train,11/038,4,2,2,356,vehicles meet on the road,4,180,ambas clases
train,11/039,3,1,2,493,vehicles meet on the road,13,157,ambas clases
train,11/041,3,1,2,205,lead vehicle stops,13,141,ambas clases
train,11/046,3,2,1,98,lead vehicle stops,2,34,ambas clases
train,11/047,3,1,2,285,a vehicle changes lanes with the same direction to ego-car,13,173,ambas clases
train,11/048,4,2,2,290,lead vehicle stops,2,162,ambas clases
train,11/049,3,1,2,235,lead vehicle stops,11,139,ambas clases
train,11/050,4,2,2,308,a vehicle changes lanes with the same direction to ego-car,4,164,ambas clases
train,11/051,2,1,1,120,lead vehicle stops,8,56,ambas clases
train,11/054,3,1,2,397,lead vehicle stops,13,157,ambas clases
train,11/055,3,1,2,262,a vehicle changes lanes with the same direction to ego-car,6,166,ambas clases
train,11/056,3,2,1,177,lead vehicle decelerates,1,113,ambas clases
train,11/057,3,1,2,203,ego-car turns left across path at non-signalized junctions,11,139,ambas clases
train,11/059,3,1,2,191,a vehicle changes lanes with the same direction to ego-car,15,127,ambas clases
train,11/060,3,2,1,129,lead vehicle stops,1,65,ambas clases
train,11/062,3,2,1,132,lead vehicle stops,4,68,ambas clases
train,11/063,3,1,2,381,a vehicle changes lanes with the same direction to ego-car,13,157,ambas clases
train,11/064,2,0,2,0,lead vehicle stops,-320,-128,solo negativos
train,11/065,4,2,2,275,a vehicle goes straight near the center line of the road,3,179,ambas clases
train,11/066,3,1,2,346,lead vehicle stops,10,170,ambas clases
train,11/067,3,1,2,517,a vehicle backes up into ego-car,5,133,ambas clases
train,11/068,3,1,2,200,ego-car turns left across path at non-signalized junctions,8,136,ambas clases
train,11/069,3,1,2,202,lead vehicle stops,10,138,ambas clases
train,11/070,3,1,2,470,ego-car accelerately goes straight at non-signalized junctions,6,166,ambas clases
train,11/071,3,1,2,248,lead vehicle stops,8,120,ambas clases
train,11/072,3,1,2,250,a vehicle changes lanes with the same direction to ego-car,10,170,ambas clases
train,11/073,2,1,1,112,a vehicle turns around at non-signalized junctions,16,48,ambas clases
train,11/074,3,1,2,264,ego-car turns on a road,8,152,ambas clases
train,11/075,3,1,2,197,vehicles meet on the road,5,133,ambas clases
train,11/076,3,1,2,457,ego-car turns left across path at non-signalized junctions,9,153,ambas clases
train,11/078,2,1,1,96,a vehicle turns on a road with the same direction to ego-car/another vehicle,16,32,ambas clases
train,11/080,4,2,2,193,a vehicle changes lanes with the same direction to ego-car,1,129,ambas clases
train,11/081,2,1,1,120,lead vehicle stops,8,56,ambas clases
train,11/083,2,1,1,154,a vehicle changes lanes with the same direction to ego-car,10,90,ambas clases
train,11/084,4,2,2,228,vehicles meet on the road,4,132,ambas clases
train,11/085,3,1,2,236,lead vehicle stops,12,172,ambas clases
train,11/086,3,1,2,208,vehicles meet on the road,16,144,ambas clases
train,11/088,2,1,1,125,ego-car runs red light,13,61,ambas clases
train,11/089,3,2,1,147,lead vehicle stops,3,83,ambas clases
train,11/090,3,1,2,267,ego-car changes lines,11,171,ambas clases
train,11/092,3,1,2,250,lead vehicle stops,10,154,ambas clases
train,11/093,3,1,2,204,lead vehicle stops,12,140,ambas clases
train,11/094,3,1,2,205,lead vehicle stops,13,125,ambas clases
train,11/096,2,1,1,121,a vehicle turns left across path at signalized junctions,9,57,ambas clases
train,11/099,3,1,2,232,a vehicle changes lanes with the same direction to ego-car,8,152,ambas clases
train,11/101,3,2,1,145,ego-car goes straight crossing paths at non-signalized junctions,1,81,ambas clases
train,11/104,2,1,1,135,lead vehicle stops,7,71,ambas clases
train,11/106,2,1,1,126,lead vehicle stops,14,62,ambas clases
train,11/108,3,2,1,116,vehicles meet on the road,4,52,ambas clases
train,11/110,4,2,2,371,lead vehicle stops,3,147,ambas clases
train,11/111,3,1,2,222,lead vehicle stops,14,158,ambas clases
train,11/112,1,1,0,90,lead vehicle stops,10,10,solo positivos
train,11/113,2,1,1,125,a vehicle changes lanes with the same direction to ego-car,13,61,ambas clases
train,11/114,3,1,2,222,lead vehicle stops,14,126,ambas clases
train,11/116,3,1,2,192,ego-car accelerating to turn on a road,16,128,ambas clases
train,11/118,4,2,2,194,a vehicle turns on a road with the same direction to,2,130,ambas clases
train,11/119,2,1,1,167,ego-car goes straight at signalized junctions,7,103,ambas clases
train,11/120,3,1,2,207,lead vehicle stops,15,127,ambas clases
train,11/121,3,1,2,208,a vehicle turns right across path at non-signalized junctions,16,144,ambas clases
train,11/133,3,2,1,114,lead vehicle stops,2,50,ambas clases
train,11/136,3,1,2,198,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,134,ambas clases
train,11/137,2,1,1,166,ego-car goes straight crossing paths at non-signalized junctions,6,102,ambas clases
train,11/139,3,2,1,178,vehicles  meet on the road,2,114,ambas clases
train,11/142,2,1,1,135,a vehicle changes lanes with the same direction to ego-car/another vehicle,7,71,ambas clases
train,11/144,2,1,1,153,a vehicle goes straight crossing paths at non-signalized junctions,9,89,ambas clases
train,11/145,3,1,2,188,ego-car goes straight crossing paths at non-signalized junctions,12,124,ambas clases
train,11/146,3,1,2,186,a vehicle changes lanes with the same direction to ego-car/another vehicle,10,122,ambas clases
train,11/149,2,1,1,134,lead vehicle stops,6,70,ambas clases
train,11/150,2,1,1,136,a vehicle turns on a road with the opposite direction to ego-car/another vehicle,8,72,ambas clases
train,11/152,2,1,1,103,lead vehicle decelerates,7,39,ambas clases
train,11/153,2,1,1,160,a vehicle turns left across path at signalized junctions,16,96,ambas clases
train,11/154,3,2,1,130,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,66,ambas clases
train,11/156,3,1,2,188,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,124,ambas clases
train,11/157,4,2,2,194,vehicles  meet on the road,2,130,ambas clases
train,11/158,2,1,1,137,ego-car turns left across path at non-signalized junctions,9,73,ambas clases
train,11/159,3,1,2,249,ego-car  turns right across path at non-signalized junctions,9,121,ambas clases
train,11/160,3,1,2,207,a vehicle changes lanes with the same direction to ego-car/another vehicle,15,127,ambas clases
train,11/161,3,2,1,100,a vehicle changes lanes with the same direction to ego-car/another vehicle,4,36,ambas clases
train,11/162,3,1,2,286,lead vehicle decelerates,14,174,ambas clases
train,11/166,3,1,2,240,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,176,ambas clases
train,11/169,3,1,2,184,lead vehicle stops,8,120,ambas clases
train,11/170,3,1,2,184,ego-car turns right across path at signalized junctions,8,120,ambas clases
train,11/171,3,2,1,145,a vehicle changes lanes with the same direction to ego-car/another vehicle,1,81,ambas clases
train,11/172,3,2,1,100,ego-car changes lanes,4,36,ambas clases
train,11/174,2,1,1,139,a vehicle turns on a road with the same direction to ego-car/another vehicle,11,75,ambas clases
train,11/179,2,1,1,140,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,76,ambas clases
train,11/180,3,2,1,130,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,66,ambas clases
train,11/183,2,1,1,102,a vehicle turns on a road with the same direction to ego-car/another vehicle,6,38,ambas clases
train,11/184,2,1,1,103,a vehicle turns right across path at non-signalized junctions,7,39,ambas clases
train,11/185,3,1,2,217,lead vehicle stops,9,153,ambas clases
train,11/188,3,1,2,231,vehicles  meet on the road,7,167,ambas clases
train,11/190,3,2,1,146,lead vehicle stops,2,82,ambas clases
train,11/191,2,1,1,143,a vehicle turns left across path at signalized junctions,15,79,ambas clases
train,11/193,3,1,2,360,lead vehicle stops,8,120,ambas clases
train,11/195,3,1,2,182,lead vehicle stops,6,118,ambas clases
train,11/197,3,2,1,115,lead vehicle stops,3,51,ambas clases
train,11/200,2,1,1,120,a vehicle changes lanes with the same direction to ego-car/another vehicle,8,56,ambas clases
train,11/202,3,1,2,252,ego-car turns left across path at non-signalized junctions,12,172,ambas clases
train,11/204,2,1,1,102,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,38,ambas clases
train,11/205,3,1,2,239,lead vehicle stops,15,175,ambas clases
train,11/206,3,1,2,234,lead vehicle decelerates,10,138,ambas clases
train,11/207,2,1,1,153,lead vehicle stops,9,89,ambas clases
train,11/210,3,1,2,220,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,140,ambas clases
train,11/211,3,1,2,188,a vehicle changes lanes with the same direction to ego-car/another vehicle,12,124,ambas clases
train,11/212,2,1,1,176,lead vehicle decelerates,16,112,ambas clases
train,11/213,2,1,1,156,lead vehicle stops,12,92,ambas clases
train,11/214,2,1,1,124,a vehicle backes up into another vehicle,12,60,ambas clases
train,11/215,3,1,2,265,lead vehicle stops,9,153,ambas clases
train,11/217,4,2,2,212,a vehicle changes lanes with the same direction to ego-car/another vehicle,4,148,ambas clases
train,11/218,3,2,1,146,vehicles  meet on the road,2,82,ambas clases
train,11/220,3,1,2,183,lead vehicle decelerates,7,119,ambas clases
train,11/222,2,1,1,144,lead vehicle stops,16,80,ambas clases
train,11/224,2,1,1,119,lead vehicle decelerates,7,55,ambas clases
train,11/229,3,1,2,192,vehicles  meet on the road,16,128,ambas clases
train,11/231,2,1,1,165,lead vehicle stops,5,101,ambas clases
train,11/232,3,1,2,234,a vehicle backes up into another vehicle,10,170,ambas clases
train,11/234,2,1,1,124,ego-car  turns right across path at non-signalized junctions,12,60,ambas clases
train,11/235,3,1,2,198,lead vehicle stops,6,134,ambas clases
train,11/236,3,1,2,221,lead vehicle stops,13,157,ambas clases
train,11/237,2,1,1,144,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,80,ambas clases
train,11/238,3,1,2,248,a vehicle drives away from the road edge,8,168,ambas clases
train,11/241,2,1,1,150,a vehicle changes lanes with the same direction to ego-car/another vehicle,6,86,ambas clases
train,11/244,3,1,2,285,a vehicle changes lanes with the same direction to ego-car/another vehicle,13,125,ambas clases
train,11/247,4,2,2,209,a vehicle changes lanes with the same direction to ego-car/another vehicle,1,129,ambas clases
train,11/248,3,2,1,130,a vehicle changes lanes with the same direction to ego-car/another vehicle,2,66,ambas clases
train,11/249,3,1,2,192,a vehicle changes lanes with the same direction to ego-car/another vehicle,16,128,ambas clases
train,11/250,4,2,2,244,a vehicle changes lanes with the same direction to ego-car/another vehicle,4,164,ambas clases
train,11/252,4,2,2,260,a vehicle overtakes,4,164,ambas clases
train,12/001,3,1,2,406,ego-car changes lanes,6,150,ambas clases
train,12/002,3,1,2,360,a following vehicle makes a maneuver,8,136,ambas clases
train,12/003,2,1,1,155,a vehicle changes lanes with the same direction to ego-car,11,91,ambas clases
train,12/004,3,1,2,344,a vehicle changes lanes with the same direction to ego-car,8,136,ambas clases
train,12/005,3,1,2,318,a vehicle changes lanes with the same direction to ego-car,14,174,ambas clases
train,12/007,3,1,2,234,a vehicle changes lanes with the same direction to ego-car,10,170,ambas clases
train,12/009,3,1,2,249,a vehicle changes lanes with the same direction to ego-car,9,137,ambas clases
train,12/010,3,1,2,280,a vehicle overtakes,8,168,ambas clases
train,12/011,3,2,1,132,a vehicle changes lanes with the same direction to ego-car,4,68,ambas clases
train,12/012,1,1,0,92,a vehicle changes lanes with the same direction to ego-car,12,12,solo positivos
train,12/014,3,1,2,343,a vehicle changes lanes with the same direction to ego-car,7,151,ambas clases
train,12/015,2,1,1,135,a vehicle changes lanes with the same direction to ego-car,7,71,ambas clases
train,12/017,3,1,2,230,ego-car changes lanes,6,166,ambas clases
train,12/018,4,2,2,306,a vehicle overtakes,2,178,ambas clases
train,12/019,2,1,1,172,ego-car overtakes,12,108,ambas clases
train,12/021,4,2,2,194,a vehicle overtakes,2,130,ambas clases
train,12/022,4,2,2,242,a vehicle overtakes,2,146,ambas clases
train,12/025,2,1,1,134,a vehicle overtakes,6,70,ambas clases
train,12/027,2,1,1,106,a vehicle overtakes,10,42,ambas clases
train,12/029,3,1,2,264,a vehicle overtakes,8,120,ambas clases
train,12/030,3,1,2,204,a vehicle overtakes,12,124,ambas clases
train,12/031,3,1,2,182,a vehicle overtakes,6,118,ambas clases
train,12/032,3,1,2,190,a vehicle overtakes,14,126,ambas clases
train,12/033,2,1,1,154,ego-car overtakes,10,90,ambas clases
train,12/034,2,1,1,128,a vehicle overtakes,16,64,ambas clases
train,12/035,3,1,2,300,a vehicle overtakes,12,140,ambas clases
train,12/036,2,1,1,134,a vehicle overtakes,6,70,ambas clases
train,12/037,3,1,2,230,a vehicle overtakes,6,166,ambas clases
train,12/038,2,1,1,102,a vehicle overtakes,6,38,ambas clases
train,12/039,3,1,2,234,a vehicle changes lanes with the same direction to ego-car,10,170,ambas clases
train,12/040,3,2,1,177,a vehicle changes lanes with the same direction to ego-car,1,113,ambas clases
train,13/001,3,1,2,213,there is an object crash,5,133,ambas clases
train,13/002,3,1,2,411,there is an object crash,11,171,ambas clases
train,13/003,2,1,1,142,a following vehicle makes a maneuver,14,78,ambas clases
train,13/004,3,1,2,213,there is an object crash,5,117,ambas clases
train,13/005,3,1,2,280,there is an object crash,8,152,ambas clases
train,13/006,4,2,2,260,a following vehicle makes a maneuver,4,180,ambas clases
train,13/007,3,1,2,248,there is an object crash,8,168,ambas clases
train,14/001,3,1,2,267,there is an object crash,11,171,ambas clases
train,14/002,3,1,2,315,a vehicle changes lanes with the same direction to ego-car,11,171,ambas clases
train,14/003,4,2,2,242,a vehicle changes lanes with the same direction to ego-car,2,162,ambas clases
train,14/004,4,2,2,210,ego-car accelerates to turn on a road,2,146,ambas clases
train,14/005,2,1,1,158,there is an object crash,14,94,ambas clases
train,14/006,3,1,2,278,ego-car accelerately goes straight at non-signalized junctions,6,150,ambas clases
train,14/008,3,1,2,240,ego-car goes straight crossing paths at non-signalized junctions,16,160,ambas clases
train,14/009,3,1,2,182,ego-car accelerates to turn on a road,6,118,ambas clases
train,14/011,4,2,2,338,a vehicle changes lanes with the same direction to ego-car,2,130,ambas clases
train,14/012,4,2,2,228,ego-car is out of control,4,164,ambas clases
train,14/013,3,1,2,334,ego-car turns at non-signalized junctions,14,174,ambas clases
train,14/014,3,1,2,439,ego-car accelerating to turn on a road,7,135,ambas clases
train,14/015,2,1,1,136,ego-car controls loss,8,72,ambas clases
train,14/017,3,1,2,197,ego-car controls loss,5,133,ambas clases
train,14/018,4,2,2,386,ego-car controls loss,2,162,ambas clases
train,14/019,2,1,1,140,ego-car controls loss,12,76,ambas clases
train,14/020,3,1,2,300,ego-car controls loss,12,172,ambas clases
train,14/022,3,1,2,220,ego-car  turns right across path at non-signalized junctions,12,140,ambas clases
train,14/024,2,1,1,153,ego-car controls loss,9,89,ambas clases
train,14/025,3,2,1,180,ego-car controls loss,4,116,ambas clases
train,14/026,3,1,2,204,ego-car controls loss,12,140,ambas clases
train,14/027,2,1,1,122,ego-car controls loss,10,58,ambas clases
train,14/028,3,2,1,180,ego-car changes lanes,4,116,ambas clases
train,14/029,3,2,1,145,ego-car controls loss,1,81,ambas clases
train,14/030,2,1,1,124,ego-car changes lanes,12,60,ambas clases
train,14/031,3,1,2,183,ego-car controls loss,7,119,ambas clases
train,15/001,3,1,2,240,ego-car controls loss,16,160,ambas clases
train,15/002,4,2,2,194,there is an object crash,2,130,ambas clases
train,15/003,3,1,2,245,there is an object crash,5,165,ambas clases
train,16/001,2,1,1,171,ego-car controls loss,11,107,ambas clases
train,18/001,4,2,2,212,there is an object crash,4,132,ambas clases
train,18/005,4,2,2,228,there is an object crash,4,164,ambas clases
train,18/006,4,2,2,372,there is an object crash,4,148,ambas clases
train,18/007,3,2,1,100,ego-car changes lanes,4,36,ambas clases
train,2/001,3,1,2,240,ego-car drives slowly on congested road,16,160,ambas clases
